URL,開講年度,開講場所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,科目キー,科目クラスコード,授業で使用する言語,授業方法区分,大分野名称,中分野名称,小分野名称,レベル,授業形態,教科書,成績評価方法
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001013012024260000101326,2024年度,基幹理工学部,ストレスと自殺,坂田　成輝／膳場　百合子／高橋　尚子／奈良　元壽,春学期  火３時限,綜合科目 選択必修,１年以上,2,６３-２０１教室,西早稲田（旧大久保）,2600001013,01,日本語,【対面】ハイブリッド（対面回数半数以上）,心理学,心理学,臨床心理学・人格心理学・精神分析学,初級レベル（入門・導入）,講義,特に教科書は指定しない,【成績評価方法】試験１００％教場試験（第14週）で成績評価を行う。3名の講師がそれぞれ出題する。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001018012024260000101826,2024年度,基幹理工学部,産業社会のメンタルヘルス,小林　祐一／佐藤　陽／膳場　百合子／渡部　卓,春学期  月６時限,綜合科目 選択必修,１年以上,2,５５Ｓ-０３-０８教室,西早稲田（旧大久保）,2600001018,01,日本語,【対面】ハイブリッド（対面回数半数以上）,心理学,心理学,臨床心理学・人格心理学・精神分析学,初級レベル（入門・導入）,演習／ゼミ,特に指定しない,定期試験: 60% 期末試験　各講師が1/3ずつ出題する。　持ち込み無し。その他（授業内でのレポート等）:20% および平常点評価: 20% アクティブラーニングでの取り組みなどただし、教員（小林、佐藤、渡部）によって定期試験（６０％配分は共通）の設問、またレポートや平常点で評価基準、方法は各教員ごとに異なります。詳細は教場にて各教師の第一回目の講義時に別途指示し、質問があれば、各教員（小林、佐藤、渡部）にお問い合わせください。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001021012024260000102126,2024年度,基幹理工学部,科学・技術の社会史,綾部　広則,春学期  火４時限,基礎科目 選択必修,１年以上,2,６３-２０１教室,西早稲田（旧大久保）,2600001021,01,日本語,【オンライン】ハイブリッド（対面回数半数未満）,科学技術論,科学技術論,科学史・技術史,初級レベル（入門・導入）,講義,古川安『科学の社会史――ルネサンスから20世紀まで』ちくま学芸文庫、2018年。,割合評価基準試験:100％歴史的事実に関する基本的知識および歴史についての理解度で評価する。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001023012024260000102326,2024年度,基幹理工学部,知的財産の基礎と応用,國光　健一,春学期  水４時限,基礎科目 選択必修,１年以上,2,５２-２０１教室,西早稲田（旧大久保）,2600001023,01,日本語,【対面】,経営工学,経営工学,事業経営（含技術経営，経済性工学）,初級レベル（入門・導入）,講義,AI時代の知的財産・イノベーション (日科技連出版社),試験：0％　　　試験は実施しないが、レポート及討議による理解度確認を行う。レポート：60％　学生発表とレポートの記述内容（課題に基づいた理解度）を総合的に判定する。平常点評価:：40％	　出席と授業への貢献（質疑）などを判定し、平常点評価とする。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001032012024260000103226,2024年度,基幹理工学部,人文地理学,成瀬　厚,春学期  水３時限,基礎科目 選択必修,１年以上,2,５３-４０１教室,西早稲田（旧大久保）,2600001032,01,日本語,【対面】,地理学,地理学,地理学,初級レベル（入門・導入）,講義,特定の教科書はありません。,割合評価基準試験:0％定期試験は実施しません。レポート:50％課題は10回目の授業で提示します。レポートの結論が正しいか誤っているかではなく、自分が考えた結論までに辿り着く思考過程をいかに論理的に説得力を持って、またその根拠となる資料を効果的に提示しながらレポートが構成されているかを評価します。平常点評価:50％期末のレポートとは別に、前半に小レポート課題を出します。そちらは課題図書を読んで指定の形式に沿ってまとめるものとなります。また、毎回の授業での理解度や感想について書いてもらいます。その他，毎回の授業で行う質疑応答や意見交換に積極的な書き込みを評価します。その他:0％特にありません。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001034012024260000103426,2024年度,基幹理工学部,科学と芸術,郡司　幸夫／清水　裕子／竹之内　要人,秋学期  月３時限,綜合科目 選択必修,１年以上,2,５７-２０２室,西早稲田（旧大久保）,2600001034,01,日本語,【対面】ハイブリッド（対面回数半数以上）,芸術／美術,その他　芸術／美術,その他,初級レベル（入門・導入）,講義,nan,割合評価基準レポート:50％三人の講師の各々の担当の中でレポートを課しそれを採点する平常点評価:50％出席回数を重視する
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001040012024260000104026,2024年度,基幹理工学部,生活空間の文化,ジャック　ジェームズ／杉本　香七／中島　武三志,春学期  月３時限,綜合科目 選択必修,１年以上,2,５７-２０１室,西早稲田（旧大久保）,2600001040,01,日本語,【オンライン】ハイブリッド（対面回数半数未満）,デザイン学,デザイン学,デザイン学,初級レベル（入門・導入）,講義,・長沢伸也編著、杉本香七著『巨大ラグジュアリー複合企業 「リシュモン」に学ぶ感性価値の高め方  』東洋経済新報社、2021年、ISBN　978-4-492-50324-9,定期レポート、ドローイング、課題などの提出する。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001042012024260000104226,2024年度,基幹理工学部,音楽論,森本　洋太,秋学期  火３時限,基礎科目 選択必修,１年以上,2,５７-２０２室,西早稲田（旧大久保）,2600001042,01,日本語,【対面】ハイブリッド（対面回数半数以上）,芸術／美術,音楽,芸術／芸能論,中級レベル（発展・応用）,講義,nan,出席を前提としたレポート：100%欠席は３回までそれ以上欠席した場合は、評価の対象外とします。レポートは自分の考えを書くこととし、ネットからの引用などは一切認めない。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001044012024260000104426,2024年度,基幹理工学部,プラクティカルリーズニング,塩谷　賢,春学期  金３時限,基礎科目 選択必修,１年以上,2,５４-３０２教室,西早稲田（旧大久保）,2600001044,01,日本語,【対面】,哲学,西洋哲学,キリスト教思想,初級レベル（入門・導入）,講義,使用しません。,割合評価基準試験:定期試験は行いません。レポート:80％第12回にレポートの課題を提示します。自分なりの筋だった考え方の提示を評価します。なお、講義は日本語で行いますが、レポートは英語でも構いません。平常点評価:20％講義内容に関連した事柄につき、自由課題レポートを随時受け付けます。（復習で推奨したもの）授業への積極的な参加として評価します。また授業中、適宜に小レポートを課す場合があります。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001068012024260000106826,2024年度,基幹理工学部,表現とコトバ,澤　宏司,秋学期  水３時限,基礎科目 選択必修,１年以上,2,５７-２０２室,西早稲田（旧大久保）,2600001068,01,日本語,【対面】ハイブリッド（対面回数半数以上）,哲学,その他　哲学,その他,初級レベル（入門・導入）,講義,教場およびコースナビ上で種々のプリントを配付する。,割合評価基準レポート:90％５〜７回の課題において独創性の高いものに高い評価を与える平常点評価:10％出席
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001069012024260000106926,2024年度,基幹理工学部,生命の思想史,皆吉　淳平,春学期  月４時限,基礎科目 選択必修,１年以上,2,５２-１０４教室,西早稲田（旧大久保）,2600001069,01,日本語,【対面】,科学技術論,科学技術論,科学社会学,初級レベル（入門・導入）,講義,特に指定しない,割合評価基準試験:70％第14回目の授業時間中に試験を実施し、理解度の確認を行う。平常点評価:30％授業時に実施するコメントペーパーの提出状況および内容、Waseda Moodleで実施する「確認テスト」の結果、これらを評価する。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001072012024260000107226,2024年度,基幹理工学部,政治学,佐藤　美奈子,春学期  金２時限,基礎科目 選択必修,１年以上,2,６１-３１０教室,西早稲田（旧大久保）,2600001072,01,日本語,【対面】,政治学,政治学,政治学,初級レベル（入門・導入）,講義,特に定めません。,割合評価基準試験:35％第14回の授業時間中に試験を行い、理解度の確認を行います。レポート:35％毎回、授業内で提出するミニレポートに与えるポイントです。授業を踏まえ、適切に問いに答えているかを評価します。平常点評価:30％グループディスカッション、プレゼンテーションなど授業内での活動を評価します。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001073012024260000107326,2024年度,基幹理工学部,認知とコミュニケーション,尾形　哲也／近藤　あき,秋学期  水３時限,基礎科目 選択必修,１年以上,2,５２-３０２教室,西早稲田（旧大久保）,2600001073,01,日本語,【対面】ハイブリッド（対面回数半数以上）,情報学,知的システム,一般,初級レベル（入門・導入）,講義,nan,*授業への参加と教場試験
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001074012024260000107426,2024年度,基幹理工学部,哲学概論,串田　純一,秋学期  火５時限,基礎科目 選択必修,１年以上,2,５２-３０４教室,西早稲田（旧大久保）,2600001074,01,日本語,【対面】,哲学,西洋哲学,概論,初級レベル（入門・導入）,講義,とくに指定しませんが、東京大学出版会『哲学原典資料集』からの一部コピーを配ります。全体を見たい方は購入してみても良いと思います。,割合評価基準試験:下記参照。レポート:80％知識と視野の幅広さ。問題の射程の把握。論理的な整合性。オンラインで提示・提出の予定だが、諸般の事情により、最終回に教場試験とする可能性もある。平常点評価:20％毎回、哲学の著名テクストを抜粋を配る予定ですので、復習に役立ててください。受講人数にもよりますが、数回に一度、出席確認を兼ねて簡単な調べものや質問に答えてもらうかもしれません。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001079012024260000107926,2024年度,基幹理工学部,都市と地域の社会学,石倉　義博,秋学期  金３時限,基礎科目 選択必修,１年以上,2,５２-２０２教室,西早稲田（旧大久保）,2600001079,01,日本語,【対面】ハイブリッド（対面回数半数以上）,社会学,社会学,地域社会・村落・都市,初級レベル（入門・導入）,講義,特になし。毎回資料を配布する。,割合評価基準試験:0％期末試験は実施しない。レポート:70％授業で扱ったテーマに即して、各自データを収集し、根拠にもとづいた議論を展開するレポート課題によって評価を行う。平常点評価:30％各回の授業内容とサブテキストをふまえた小レポートの内容、提出状況も成績評価に加味する。その他:0％出席点は設けないが、出席が一定回数に満たない場合は、成績評価の対象外とする。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001084012024260000108426,2024年度,基幹理工学部,社会思想史,佐藤　美奈子,秋学期  金２時限,基礎科目 選択必修,１年以上,2,５１-０６-０４(共通ゼミ室),西早稲田（旧大久保）,2600001084,01,日本語,【対面】,哲学,思想史,概論,初級レベル（入門・導入）,講義,特に定めません。,割合評価基準試験:35％第14回目の授業時間中に試験を行い、理解度の確認を行います。レポート:35％毎回、授業内で提出するミニレポートに与えるポイントです。授業を踏まえ、適切に問いに答えているかを評価します。平常点評価:30％グループディスカッション、プレゼンテーションなど授業内での活動を評価します。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001085012024260602305726,2024年度,基幹理工学部,映画から学ぶ映像表現,土田　環,春学期  月３-４,特論科目 選択必修,２年以上,4,５３-Ｂ０３教室,西早稲田（旧大久保）,2600001085,01,日本語,【対面】,複合領域,表現（美術／映像／演劇／音楽／芸能／文学／メディア論）,映像,中級レベル（発展・応用）,講義,特になし。授業中に適宜紹介する。共有すべきテキストは、必要に応じてコピーを配布する。,割合評価基準試験:0％なしレポート:50％最終課題平常点評価:25％授業での積極性その他:25％授業内で出された課題
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001088012024260602200526,2024年度,基幹理工学部,奇想のテレビドキュメンタリー論,長嶋　甲兵,秋学期  木４-５,特論科目 選択必修,２年以上,2,５５Ｓ-０２-０１-１教室,西早稲田（旧大久保）,2600001088,01,日本語,【対面】,複合領域,表現（美術／映像／演劇／音楽／芸能／文学／メディア論）,メディア論,初級レベル（入門・導入）,講義,特別ありません。,割合評価基準試験:0％なしレポート:80％各回ドキュメンタリー鑑賞感想文など平常点評価:20％授業での積極性などその他:0％なし
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001091012024260000109126,2024年度,基幹理工学部,法学入門,石巻　実穂,春学期  金１時限,基礎科目 選択必修,１年以上,2,５７-２０１室,西早稲田（旧大久保）,2600001091,01,日本語,【対面】,法学,基礎法,基礎法概論,初級レベル（入門・導入）,講義,特に指定しない。,授業内試験：100％
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001094012024260000109426,2024年度,基幹理工学部,マスターズ・オブ・シネマ　映画のすべて　１,角井　誠／谷　昌親／土田　環／藤井　仁子,春クォーター  土４時限,基礎科目 選択必修,１年以上,1,８-１０６,早稲田,2600001094,01,日本語,【対面】,芸術／美術,演劇,その他,初級レベル（入門・導入）,講義,特になし。教科書には指定しませんが、参考文献やゲストの方に関するテキスト、作品を予習してください。,割合評価基準レポート:50％期末レポートを課す。具体的な課題については授業時およびWaseda Moodle上で指示する。平常点評価:50％授業における発言、出欠を含めた課題によって評価する。具体的には、毎回、リアクションペーパーを授業終了後に提出してもらい、それによって出席と評価を行う。ゲスト・スピーカーを招聘する7回のうち、リアクション・ペーパーを5回以上提出することを義務付ける。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001095012024260000109526,2024年度,基幹理工学部,マスターズ・オブ・シネマ　映画のすべて　２,角井　誠／谷　昌親／土田　環／藤井　仁子,夏クォーター  土４時限,基礎科目 選択必修,１年以上,1,８-１０６,早稲田,2600001095,01,日本語,【対面】,芸術／美術,演劇,その他,初級レベル（入門・導入）,講義,特になし。教科書は特に指定ないが、参考文献やゲストの方について書かれたテキスト、作品を予習すること。,割合評価基準レポート:50％授業最終回（第8回目）に教場で理解度確認を行う。具体的な課題については授業時およびWaseda Moodle上で指示する。平常点評価:50％授業における発言、出欠を含めた課題によって評価する。具体的には、毎回、リアクションペーパーを授業終了後に提出してもらい、それによって出席と評価を行う。ゲスト・スピーカーを招聘する7回のうち、リアクション・ペーパーを5回以上提出することを義務付ける。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=26000010960120249S0100000126,2024年度,基幹理工学部,複合文章表現　０１学術的文章の作成　０１,佐渡島　紗織／坂本　麻裕子／中島　宏治,春クォーター  無フルOD,基礎科目 選択必修,１年以上,1,,,2600001096,01,日本語,nan,語学,日本語,日本語,初級レベル（入門・導入）,オンデマンド,"教科書：『これから研究を書くひとのためのガイドブック　第2版』（佐渡島紗織・吉野亜矢子、2021年、ひつじ書房）（どうしても購入しなければならないというものではないが、授業内容が本書に準拠しているので、手元に置くことをお勧めします。）また、以下の教科書も参考になります。『課題に応える　卒論に活かせる　大学生のためのレポートの書き方』（佐渡島紗織・坂本麻裕子・中島宏治・太田裕子、2022年、ナツメ社）『レポート･論文をさらによくする「引用」ガイド』（佐渡島紗織・オリベイラ,ディエゴ・嶼田大海・デルグレゴ,ニコラス：編著、2020年、大修館書店）『レポート・論文をさらによくする「書き直し」ガイド―大学生・大学院生のための自己点検法29』（佐渡島紗織・坂本麻裕子・大野真澄：編著、2015年、大修館書店）",割合評価基準試験:3％視聴をふまえた、第2回小テストの合計点。レポート:97％視聴をふまえた、全7編の課題の合計点。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=26000010960220249S0100000126,2024年度,基幹理工学部,複合文章表現　０２学術的文章の作成　０２,佐渡島　紗織／坂本　麻裕子／中島　宏治,夏クォーター  無フルOD,基礎科目 選択必修,１年以上,1,,,2600001096,02,日本語,nan,語学,日本語,日本語,初級レベル（入門・導入）,オンデマンド,"教科書：『これから研究を書くひとのためのガイドブック　第2版』（佐渡島紗織・吉野亜矢子、2021年、ひつじ書房）（どうしても購入しなければならないというものではないが、授業内容が本書に準拠しているので、手元に置くことをお勧めします。）また、以下の教科書も参考になります。『課題に応える　卒論に活かせる　大学生のためのレポートの書き方』（佐渡島紗織・坂本麻裕子・中島宏治・太田裕子、2022年、ナツメ社）『レポート･論文をさらによくする「引用」ガイド』（佐渡島紗織・オリベイラ,ディエゴ・嶼田大海・デルグレゴ,ニコラス：編著、2020年、大修館書店）『レポート・論文をさらによくする「書き直し」ガイド―大学生・大学院生のための自己点検法29』（佐渡島紗織・坂本麻裕子・大野真澄：編著、2015年、大修館書店）",割合評価基準試験:3％視聴をふまえた、第2回小テストの合計点。レポート:97％視聴をふまえた、全7編の課題の合計点。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=26000010960320249S0100000126,2024年度,基幹理工学部,複合文章表現　０３学術的文章の作成　０３,佐渡島　紗織／太田　裕子／坂本　麻裕子／中島　宏治,秋クォーター  無フルOD,基礎科目 選択必修,１年以上,1,,,2600001096,03,日本語,nan,語学,日本語,日本語,初級レベル（入門・導入）,オンデマンド,"教科書：『これから研究を書くひとのためのガイドブック　第2版』（佐渡島紗織・吉野亜矢子、2021年、ひつじ書房）（どうしても購入しなければならないというものではないが、授業内容が本書に準拠しているので、手元に置くことをお勧めします。）また、以下の教科書も参考になります。『レポート・論文をさらによくする「書き直し」ガイド―大学生・大学院生のための自己点検法29』（佐渡島紗織・坂本麻裕子・大野真澄：編著、2015年、大修館書店）『レポート･論文をさらによくする「引用」ガイド』（佐渡島紗織・ディエゴ,オリベイラ・嶼田大海・ニコラス,デルグレゴ：編著、2020年、大修館書店）『課題に応える　卒論に活かせる　大学生のためのレポートの書き方』（佐渡島紗織・坂本麻裕子・中島宏治・太田裕子、2022年、ナツメ社）",割合評価基準試験:3％視聴をふまえた、第2回小テストの合計点。レポート:97％視聴をふまえた、全7編の課題の合計点。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001097012024260000109726,2024年度,基幹理工学部,人間工学とデータサイエンス,伴地　芳啓,秋学期  水２時限,基礎科目 選択必修,１年以上,2,５６-１０１教室,西早稲田（旧大久保）,2600001097,01,日本語,【対面】ハイブリッド（対面回数半数以上）,情報学,総合,概論,初級レベル（入門・導入）,講義,特に指定しない,割合評価基準レポート:70％小レポートおよび最終レポートに対する取り組みなど平常点評価:30％出席・各課題など
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001098012024260000109826,2024年度,基幹理工学部,憲法IB,石巻　実穂,春学期  木３時限,基礎科目 選択必修,１年以上,2,５２-２０４教室,西早稲田（旧大久保）,2600001098,01,日本語,【対面】,法学,公法,憲法,初級レベル（入門・導入）,講義,特に指定しない。,授業内試験：100％
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001099012024260000109926,2024年度,基幹理工学部,憲法IIB,石巻　実穂,秋学期  木３時限,基礎科目 選択必修,１年以上,2,５２-２０４教室,西早稲田（旧大久保）,2600001099,01,日本語,【対面】,法学,公法,憲法,初級レベル（入門・導入）,講義,特に指定しない。,授業内試験：100％
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001100012024260000110026,2024年度,基幹理工学部,KANEMATSU・WERU INVESTMENT寄附講座　起業家養成講座（文理融合）,池上　重輔／河村　耕平／瀧口　匡／村元　康,春学期  水６時限,基礎科目 選択必修,１年以上,2,１１-５０１,早稲田,2600001100,01,日本語,【対面】,経営学,経営学,アントレプレナーシップ,初級レベル（入門・導入）,講義,講義資料は、各回、配付予定。,割合評価基準試験:0％期末試験および未済試験等はありません。レポート:50％ガイダンス後のレポート（この講座に期待するもの)。第14回（最終回）後のレポート（この講座を履修して、自身の今後についてのレポート）。上記２つのレポートで評価する。平常点評価:50％成績評価の前提として、全講義の２/３（１０回）以上の出席を必要とする。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600002002012024260000200226,2024年度,基幹理工学部,精神分析論,膳場　百合子,春学期  無フルOD,特論科目 選択必修,２年以上,2,,西早稲田（旧大久保）,2600002002,01,日本語,【オンライン】フルオンデマンド,心理学,心理学,心理学研究法,中級レベル（発展・応用）,講義,特に指定しない,第2回授業から毎回授業後に小テストを実施し、100% 小テストの結果に基づいて成績評価を行う。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600002004012024260000200426,2024年度,基幹理工学部,心理学I,膳場　百合子,春学期  無フルOD,特論科目 選択必修,２年以上,2,,西早稲田（旧大久保）,2600002004,01,日本語,【オンライン】フルオンデマンド,心理学,心理学,概論,中級レベル（発展・応用）,講義,特に指定しない。適宜参考文献を紹介する。,授業中に課す小テスト（数回）と、レポート（５月予定）に基づいて評価する。成績評価に占める割合は、小テストの合計７０％、レポート３０％とする。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600002005012024260000200526,2024年度,基幹理工学部,心理学II,膳場　百合子,秋学期  無フルOD,特論科目 選択必修,２年以上,2,,西早稲田（旧大久保）,2600002005,01,日本語,【オンライン】フルオンデマンド,心理学,心理学,概論,中級レベル（発展・応用）,講義,nan,割合評価基準レポート:40％学期半ばに、授業のテーマ（動機付け、感情）に関するレポートを１つ課する。レポートでは、自分の身近な経験を、授業で学んだ理論やモデルに照らして、解釈、考察するか、あるいは身近な問題を授業で学んだ知識を応用して解決する提案をすることを求める予定(具体的なテーマは後日発表する）。学んだ知識を十分に応用できているかどうかで評価する。平常点評価:60％学期中に、各テーマが終了するたびにそのテーマの小テストを行う予定。第3回、第5回、第７回、第９回、第11回、第14回の合計6回、小テストを行う予定。
